partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
ACVR_1B2B_receptor,P27539,GDF1_HUMAN,,curated,PMID:22710174
ACVR_1B2B_receptor,P55107,GDF10_HUMAN,,curated,PMID:22710174
ACVR_1B2B_receptor,Q9NR23,GDF3_HUMAN,,curated,PMID:22710174
ACVR_1C2A_receptor,Activin_ligand_ab,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2A_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2A_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2A_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
ACVR_1C2B_receptor,Activin_ligand_ab,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2B_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2B_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1C2B_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
ADR_complex,Q15848,ADIPO_HUMAN,,curated,reactome
AMY1_receptor,P10997,IAPP_HUMAN,,curated,reactome
AMY2_receptor,P10997,IAPP_HUMAN,,curated,reactome
AMY3_receptor,P10997,IAPP_HUMAN,,curated,reactome
AcetylcholineReceptor_a2b3,Acetylcholine_byCHAT,,,curated,reactome
AcetylcholineReceptor_a3b2a5,Acetylcholine_byCHAT,,,curated,reactome
AcetylcholineReceptor_a3b4a5,Acetylcholine_byCHAT,,,curated,reactome
AcetylcholineReceptor_a4b2,Acetylcholine_byCHAT,,,curated,reactome
AcetylcholineReceptor_a6a4b3,Acetylcholine_byCHAT,,,curated,reactome
AcetylcholineReceptor_a6b3b4,Acetylcholine_byCHAT,,,curated,reactome
Acetylcholine_byCHAT,P02708,,ACHA_HUMAN,curated,reactome
Acetylcholine_byCHAT,P08172,,ACM2_HUMAN,curated,reactome
Acetylcholine_byCHAT,P08173,,ACM4_HUMAN,curated,reactome
Acetylcholine_byCHAT,P08912,,ACM5_HUMAN,curated,reactome
Acetylcholine_byCHAT,P11229,,ACM1_HUMAN,curated,reactome
Acetylcholine_byCHAT,P20309,,ACM3_HUMAN,curated,reactome
Acetylcholine_byCHAT,P36544,,ACHA7_HUMAN,curated,reactome
AldosteroneCorticosterone_byCYP11B2,P04150,,GCR_HUMAN,curated,HMRbase
AldosteroneCorticosterone_byCYP11B2,P08235,,MCR_HUMAN,curated,HMRbase;uniprot
Androstenedione_byCYP17A1,P10275,,ANDR_HUMAN,curated,HMRbase;reactome
Androsterone_byHSD17B6,Q96RI1,,NR1H4_HUMAN,curated,HMRbase
BCR_CD45_CD22,O00182,LEG9_HUMAN,,curated,PMID:30120235
BMP9_BMP15,BMPR1B_BMPR2_ACVR1B,,,curated,PMID:1218020110
BMPR1A_BMPR2,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,Q6KF10,GDF6_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMPR1A_BMPR2,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,O95972,BMP15_HUMAN,,curated,PMID:22710174;PMID:12419820
BMPR1B_BMPR2,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,P36894,,BMR1A_HUMAN,curated,3evs;_PDB_complex_higher_affinity
BMPR1B_BMPR2,P43026,GDF5_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,Q6KF10,GDF6_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMPR1B_BMPR2,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,P43026,GDF5_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,Q6KF10,GDF6_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMR1A_ACR2A,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,P43026,GDF5_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMR1A_AVR2B,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,P43026,GDF5_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,Q6KF10,GDF6_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMR1B_AVR2A,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P12643,BMP2_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P12644,BMP4_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P18075,BMP7_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P22003,BMP5_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P22004,BMP6_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,P43026,GDF5_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,Q6KF10,GDF6_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,Q7Z4P5,GDF7_HUMAN,,curated,PMID:22710174
BMR1B_AVR2B,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
BetaKlotho_FGFR4,O95750,FGF19_HUMAN,,curated,uniprot;reactome;PMID:25772309
BetaKlotho_FGFR4,Q9NSA1,FGF21_HUMAN,,curated,uniprot;PMID:25772309
CCL3L1,P32246,CCL3L1,CCR1_HUMAN,curated,PMID:24218476
CCL3L1,P51677,CCL3L1,CCR3_HUMAN,curated,PMID:24218476
CD8_receptor,P06239,LCK_HUMAN,,curated,1q69;PDB_partially
CD94:NKG2A,P13747,HLAE_HUMAN,,curated,PMID:28484462
CD94:NKG2C,P13747,HLAE_HUMAN,,curated,PMID:28484462
CD94:NKG2E,P13747,HLAE_HUMAN,,curated,PMID:28484462
CNTF_1R,P26441,CNTF_HUMAN,,curated,uniprot
CNTF_1R,Q9UBD9,CLCF1_HUMAN,,curated,uniprot
CUBN_AMN_complex,P02647,APOA1_HUMAN,,curated,reactome
Calcitriol_byCYP27B1,P11473,,VDR_HUMAN,curated,HMRbase;uniprot
CatSperChannel1b,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel1dg,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel2b,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel2dg,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel3b,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel3dg,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel4b,Progesterone_byHSD3B1,,,curated,uniprot;reactome
CatSperChannel4dg,Progesterone_byHSD3B1,,,curated,uniprot;reactome
Cholesterol_byCEL,P35398,,RORA_HUMAN,curated,HMRbase;PMID:12467577;PDB:1N83
Cholesterol_byCEL,P51449,,RORG_HUMAN,curated,uniprot
Cholesterol_byDHCR24,P35398,,RORA_HUMAN,curated,HMRbase;PMID:12467577;PDB:1N83
Cholesterol_byDHCR24,P51449,,RORG_HUMAN,curated,uniprot
Cholesterol_byDHCR7,P35398,,RORA_HUMAN,curated,HMRbase;PMID:12467577;PDB:1N83
Cholesterol_byDHCR7,P51449,,RORG_HUMAN,curated,uniprot
Cholesterol_byLIPA,P35398,,RORA_HUMAN,curated,HMRbase;PMID:12467577;PDB:1N83
Cholesterol_byLIPA,P51449,,RORG_HUMAN,curated,uniprot
Corticosterone_byCYP11B1,P04150,,GCR_HUMAN,curated,HMRbase
Corticosterone_byCYP11B1,P08235,,MCR_HUMAN,curated,uniprot;PMID:3037703
D3W0D1,Q6UVW9,CLC2A_HUMAN,KLRF2_HUMAN,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
DHEAsulfate_bySULT1E1,P37231,,PPARG_HUMAN,curated,HMRbase
DHEAsulfate_bySULT1E1,Q03181,,PPARD_HUMAN,curated,HMRbase
DHEAsulfate_bySULT1E1,Q07869,,PPARA_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2A1,P37231,,PPARG_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2A1,Q03181,,PPARD_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2A1,Q07869,,PPARA_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2B,P37231,,PPARG_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2B,Q03181,,PPARD_HUMAN,curated,HMRbase
DHEAsulfate_bySULT2B,Q07869,,PPARA_HUMAN,curated,HMRbase
Dehydroepiandrosterone_bySTS,O75469,,NR1I2_HUMAN,curated,HMRbase
Dehydroepiandrosterone_bySTS,P03372,,ESR1_HUMAN,curated,HMRbase
Dehydroepiandrosterone_bySTS,Q07869,,PPARA_HUMAN,curated,HMRbase;PMID:18079279
Desmosterol_byDHCR7,P55055,,NR1H2_HUMAN,curated,HMRbase;uniprot
Desmosterol_byDHCR7,Q13133,,NR1H3_HUMAN,curated,HMRbase
Desoxycorticosterone_byCYP21A2,P08235,,MCR_HUMAN,curated,HMRbase;uniprot
Dihydrotestosterone_bySRD5A1,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot
Dihydrotestosterone_bySRD5A2,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot
Dihydrotestosterone_bySRD5A3,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot
Epinephrine_byPNMT,P07550,,ADRB2_HUMAN,curated,reactome
Epinephrine_byPNMT,P08588,,ADRB1_HUMAN,curated,HMRbase;reactome
Epinephrine_byPNMT,P08913,,ADA2A_HUMAN,curated,reactome
Epinephrine_byPNMT,P13945,,ADRB3_HUMAN,curated,reactome
Epinephrine_byPNMT,P18089,,ADA2B_HUMAN,curated,reactome
Epinephrine_byPNMT,P18825,,ADA2C_HUMAN,curated,reactome
Epinephrine_byPNMT,P25100,,ADA1D_HUMAN,curated,reactome
Epinephrine_byPNMT,P35348,,ADA1A_HUMAN,curated,reactome
Epinephrine_byPNMT,P35368,,ADA1B_HUMAN,curated,reactome
Estradiol_byCYP19A1,O75469,,NR1I2_HUMAN,curated,HMRbase
Estradiol_byCYP19A1,P03372,,ESR1_HUMAN,curated,HMRbase;reactome
Estradiol_byCYP19A1,Q92731,,ESR2_HUMAN,curated,HMRbase
Estradiol_byCYP19A1,Q99527,,GPER1_HUMAN,curated,reactome;uniprot
Estradiol_byHSD17B1,O75469,,NR1I2_HUMAN,curated,HMRbase
Estradiol_byHSD17B1,P03372,,ESR1_HUMAN,curated,HMRbase;reactome
Estradiol_byHSD17B1,Q92731,,ESR2_HUMAN,curated,HMRbase
Estradiol_byHSD17B1,Q99527,,GPER1_HUMAN,curated,reactome;uniprot
FDZ8_RYK,P04628,WNT1_HUMAN,,curated,reactome;uniprot
FDZ8_RYK,P41221,WNT5A_HUMAN,,curated,reactome;uniprot
FDZ8_RYK,P56703,WNT3_HUMAN,,curated,reactome;uniprot;PMID:16116452
FDZ8_RYK,P56704,WNT3A_HUMAN,,curated,reactome;uniprot
FLT1_complex,P15692,VEGFA_HUMAN,,curated,uniprot
FLT1_complex,P49763,PLGF_HUMAN,,curated,uniprot
FLT1_complex,P49765,VEGFB_HUMAN,,curated,uniprot
FZD10_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD10_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD10_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD10_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD10_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD10_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD10_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD10_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD10_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD10_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD10_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD10_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD10_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD10_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD10_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD10_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD10_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD10_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD10_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD10_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD10_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD10_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD1_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD1_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD1_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD1_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD1_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24032637
FZD1_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD1_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD1_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD1_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD1_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD1_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD1_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD1_LRP5,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD1_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD1_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD1_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD1_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD1_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD1_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD1_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD1_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD1_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24032637
FZD1_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24532711
FZD1_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD1_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD1_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD1_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24032637
FZD1_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD1_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD1_LRP6,Q9GZT5,WN10A_HUMAN,,curated,PMID:28733458
FZD1_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD1_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD1_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD1_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD2_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD2_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD2_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD2_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD2_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD2_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD2_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24032637
FZD2_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD2_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD2_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD2_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD2_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD2_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD2_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD2_LRP6,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD2_LRP6,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD2_LRP6,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD2_LRP6,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD2_LRP6,P41221,WNT5A_HUMAN,,curated,PMID:24032637
FZD2_LRP6,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD2_LRP6,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD2_LRP6,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD2_LRP6,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD2_LRP6,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD3_LRP5,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD3_LRP5,O14904,WNT9A_HUMAN,,curated,PMID:24532711
FZD3_LRP5,O14905,WNT9B_HUMAN,,curated,PMID:24532711
FZD3_LRP5,O96014,WNT11_HUMAN,,curated,PMID:24532711
FZD3_LRP5,P04628,WNT1_HUMAN,,curated,PMID:24532711
FZD3_LRP5,P09544,WNT2_HUMAN,,curated,PMID:24032637
FZD3_LRP5,P41221,WNT5A_HUMAN,,curated,PMID:24032637
FZD3_LRP5,P56703,WNT3_HUMAN,,curated,PMID:24532711
FZD3_LRP5,P56704,WNT3A_HUMAN,,curated,PMID:24532711
FZD3_LRP5,P56705,WNT4_HUMAN,,curated,PMID:24532711
FZD3_LRP5,P56706,WNT7B_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q93097,WNT2B_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q93098,WNT8B_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q9H1J5,WNT8A_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q9H1J7,WNT5B_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q9UBV4,WNT16_HUMAN,,curated,PMID:24532711
FZD3_LRP5,Q9Y6F9,WNT6_HUMAN,,curated,PMID:24532711
FZD3_LRP6,O00755,WNT7A_HUMAN,,curated,PMID:24532711
FZD3_LRP6,O14904,WNT9A_HUMAN,,curated,PMID:24532711
